e:joy >>> 😀 ,😀
e:christmas_tree >>> 🎄 ,🎄
e:fireworks >>> 🎆 ,🎆
e:sparkler >>> 🎇 ,🎇
e:sparkles >>> ✨ ,✨
e:balloon >>> 🎈 ,🎈
e:party_popper >>> 🎉 ,🎉
e:confetti_ball >>> 🎊 ,🎊
e:tanabata_tree >>> 🎋 ,🎋
e:pine_decoration >>> 🎍 ,🎍
e:japanese_dolls >>> 🎎 ,🎎
e:carp_streamer >>> 🎏 ,🎏
e:wind_chime >>> 🎐 ,🎐
e:moon_viewing_ceremony >>> 🎑 ,🎑
e:ribbon >>> 🎀 ,🎀
e:gift >>> 🎁 ,🎁
e:reminder_ribbon >>> 🎗️ ,🎗️
e:ticket >>> 🎫 ,🎫
e:admission_tickets >>> 🎟️ ,🎟️
e:military_medal >>> 🎖️ ,🎖️
e:trophy >>> 🏆 ,🏆
e:sports_medal >>> 🏅 ,🏅
e:first_place_medal >>> 🥇 ,🥇
e:second_place_medal >>> 🥈 ,🥈
e:third_place_medal >>> 🥉 ,🥉
e:soccer_ball >>> ⚽ ,⚽
e:baseball >>> ⚾ ,⚾
e:basketball >>> 🏀 ,🏀
e:volleyball >>> 🏐 ,🏐
e:american_football >>> 🏈 ,🏈
e:rugby_football >>> 🏉 ,🏉
e:tennis >>> 🎾 ,🎾
e:flying_disc >>> 🥏 ,🥏
e:bowling >>> 🎳 ,🎳
e:cricket_game >>> 🏏 ,🏏
e:field_hockey >>> 🏑 ,🏑
e:ice_hockey >>> 🏒 ,🏒
e:lacrosse >>> 🥍 ,🥍
e:ping_pong >>> 🏓 ,🏓
e:badminton >>> 🏸 ,🏸
e:boxing_glove >>> 🥊 ,🥊
e:martial_arts_uniform >>> 🥋 ,🥋
e:goal_net >>> 🥅 ,🥅
e:flag_in_hole >>> ⛳ ,⛳
e:ice_skate >>> ⛸️ ,⛸️
e:fishing_pole >>> 🎣 ,🎣
e:diving_mask >>> 🤿 ,🤿
e:running_shirt >>> 🎽 ,🎽
e:skis >>> 🎿 ,🎿
e:sled >>> 🛷 ,🛷
e:curling_stone >>> 🥌 ,🥌
e:skateboard >>> 🛹 ,🛹
e:surfboard >>> 🏄 ,🏄
e:kayak >>> 🛶 ,🛶
e:mountain_bicycle >>> 🚵 ,🚵
e:scooter >>> 🛴 ,🛴
e:motor_scooter >>> 🛵 ,🛵
e:bus_stop >>> 🚏 ,🚏
e:motorway >>> 🛣️ ,🛣️
e:railway_track >>> 🛤️ ,🛤️
e:oil_drum >>> 🛢️ ,🛢️
e:motor_boat >>> 🛥️ ,🛥️
e:small_airplane >>> 🛩️ ,🛩️
e:airplane_departure >>> 🛫 ,🛫
e:airplane_arrival >>> 🛬 ,🛬
e:satellite >>> 🛰️ ,🛰️
e:seat >>> 💺 ,💺
e:anchor >>> ⚓ ,⚓
e:construction >>> 🚧 ,🚧
e:fuel_pump >>> ⛽ ,⛽
e:bus_stop >>> 🚏 ,🚏
e:traffic_light >>> 🚦 ,🚦
e:horizontal_traffic_light >>> 🚥 ,🚥
e:road >>> 🛣️ ,🛣️
e:railway_track >>> 🛤️ ,🛤️
e:map >>> 🗺️ ,🗺️
e:compass >>> 🧭 ,🧭
e:stone >>> 🪨 ,🪨
e:wood >>> 🪵 ,🪵
e:brick >>> 🧱 ,🧱
e:chains >>> ⛓️ ,⛓️
e:hook >>> 🪝 ,🪝
e:toolbox >>> 🧰 ,🧰
e:magnet >>> 🧲 ,🧲
e:ladder >>> 🪜 ,🪜
e:alembic >>> ⚗️ ,⚗️
e:telescope >>> 🔭 ,🔭
e:satellite_antenna >>> 📡 ,📡
e:artificial_satellite >>> 🛰️ ,🛰️
